"timestamp","email_hash","send_date"
"2026-05-16T07:14:26Z","03f19fcb6f5d43efe674fa2cc3a1af58","2026-05-16"
"2026-05-16T07:14:42Z","orphan-1","2026-05-16"
"2026-05-16T07:14:47Z","823ae098e437f5659340e1aafd490f70","2026-05-16"
"2026-05-16T07:15:21Z","28355f553f9c6bad64d2919cab9b2849","2026-05-16"
"2026-05-16T07:34:25Z","e056a42a8f7ea847cb12d674017adb4f","2026-05-16"
"2026-05-16T07:54:52Z","6e7ad3404407705ca64c7f9e05d25674","2026-05-16"
"2026-05-16T08:09:57Z","752bcf5b530e8fcccbe473bd1b381b34","2026-05-16"
"2026-05-16T08:22:38Z","9eb08ef5f994dddf7062aa4ddd094153","2026-05-16"
"2026-05-16T10:15:28Z","618f3d509c7c922783162efbf26f28e7","2026-05-16"
"2026-05-16T17:10:30Z","fa8c2f10f62d6925b9b7b0a4c27a7669","2026-05-16"
"2026-05-16T21:33:48Z","0dfac4bc089be3733257a48fabb61aba","2026-05-16"
"2026-05-16T22:30:13Z","0cf58a5ab91b86ac5439beda2e446fad","2026-05-16"
"2026-05-17T20:23:31Z","fdbb42b495f9d9864d5912e4cb096fb9","2026-05-16"
"2026-05-18T07:20:09Z","c7df70e92f67a25712514c75116a244f","2026-05-16"
"2026-05-18T08:44:27Z","d8cc5ed8b60e95a53f485a733d23163d","2026-05-16"
"2026-05-20T15:49:54Z","c906dcb3b1d0aba353fcc11dd7b3d163","2026-05-16"
